Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temp_Diff,Cluster
2,-0.9523894433829584,-0.9473598877173782,0.06818514034143,0.2821997560241306,-1.6959837443286896,0,0,0,0,0,0,0.4988493226094761,1
1,-0.9023934097553372,-0.8799590021118496,-0.7294715051501508,0.6333080199205777,-1.648851700781283,0,0,0,0,0,0,0.4988493226094761,1
1,-0.9523894433829584,-1.0147607733229451,-0.2274498401554495,0.9442896250860024,-1.6174303384163455,0,0,0,0,0,0,0.3989535894637948,1
1,-0.9023934097553372,-0.9473598877173782,-0.5900210426516227,-0.0488451785068049,-1.5860089760514078,0,0,0,0,0,0,0.3989535894638515,1
1,-0.9023934097553372,-0.8799590021118496,-0.7294715051501508,0.0013131449069732,-1.5545876136864702,0,0,0,0,0,0,0.4988493226094761,1
2,-0.9523894433829584,-0.9473598877173782,-0.6346451906511517,0.1919147738793301,-1.5231662513215327,0,0,0,0,0,0,0.4988493226094761,1
1,-0.9523894433829584,-0.9473598877173782,0.1072312698410179,0.2420730972931082,-1.4760342077741262,0,0,0,0,0,0,0.4988493226094761,1
1,-0.9523894433829584,-0.9473598877173782,-0.0656873036571569,0.0213764742724847,-1.4446128454091889,0,0,0,0,0,0,0.4988493226094761,1
2,-0.8523973761276875,-0.8799590021118496,0.7152352863346005,-1.1422966289271683,-1.4131914830442511,0,0,0,0,0,0,0.3989535894637948,2
2,-0.7524053088724167,-0.677756345295187,1.1280086553302435,-1.2024866170237023,-1.3660594394968446,0,0,0,0,0,0,0.4988493226094761,2
0,-0.8024013425000663,-0.7451572309007539,1.35670741382783,-1.6137848690166836,-1.3189273959494383,0,0,0,0,0,0,0.4988493226094761,2
0,-0.7024092752447672,-0.61035545968962,-0.6458012276510339,0.4326747262654651,-1.2403739900370945,0,0,0,0,0,0,0.4988493226094761,1
2,-0.7024092752447672,-0.61035545968962,-1.1143547816460884,1.1148279246928483,-1.1618205841247502,0,0,0,0,0,0,0.4988493226094761,1
2,-0.7024092752447672,-0.5429545740840913,1.133586673830185,-1.0018533233685898,-1.114688540577344,0,0,0,0,0,0,0.5987450557551006,2
1,-0.7024092752447672,-0.5429545740840913,2.7679460943129346,-2.0451464503751757,-1.0675564970299374,0,0,0,0,0,0,0.5987450557551006,2
1,-0.7024092752447672,-0.5429545740840913,0.0179829738419599,0.8439729782584461,-1.0361351346649998,0,0,0,0,0,0,0.5987450557551006,1
2,-0.7024092752447672,-0.5429545740840913,-1.2705392996444398,0.663403013968845,-1.0047137723000623,0,0,0,0,0,0,0.5987450557551006,1
2,-0.652413241617146,-0.5429545740840913,-0.7183154681502685,0.5630863671412888,-0.9575817287526558,0,0,0,0,0,0,0.4988493226094761,1
0,-0.6024172079894964,-0.5429545740840913,-1.2984293921441454,1.4559045239065398,-0.9104496852052494,0,0,0,0,0,0,0.3989535894637948,1
2,-0.5524211743618752,-0.4755536884785243,0.5200046388366611,-0.7510617062996991,-0.8318962792929054,0,0,0,0,0,0,0.3989535894638515,2
0,-0.5524211743618752,-0.4755536884785243,-0.913546115648208,0.2721680913413756,-0.784764235745499,0,0,0,0,0,0,0.3989535894638515,1
