antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Air temperature [K]_Air temperature [K]_High', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'HDF', 'Process temperature [K]_Process temperature [K]_Low'})",0.1211,0.001,0.0008,0.0066061106523534275,6.606110652353427,1.0,0.0006789000000000001,1.0056433915211969,0.9655535328251225,0.006595218466611707,0.005611722374728155,0.4033030553261767
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Air temperature [K]_Air temperature [K]_High', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'HDF', 'Process temperature [K]_Process temperature [K]_Low'})",0.1273,0.001,0.0008,0.006284367635506678,6.284367635506677,1.0,0.0006727,1.0053177865612648,0.9635327145639967,0.006274509803921569,0.005289657292799477,0.40314218381775335
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Air temperature [K]_Air temperature [K]_High', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'HDF', 'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Process temperature [K]_Process temperature [K]_Low'})",0.1273,0.001,0.0008,0.006284367635506678,6.284367635506677,1.0,0.0006727,1.0053177865612648,0.9635327145639967,0.006274509803921569,0.005289657292799477,0.40314218381775335
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Air temperature [K]_Air temperature [K]_High', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Torque [Nm]_Torque [Nm]_High', 'HDF', 'Process temperature [K]_Process temperature [K]_Low'})",0.1481,0.001,0.0008,0.005401755570560432,5.401755570560431,1.0,0.0006519,1.0044256619144603,0.956538326094612,0.005394470667565745,0.004406161732292724,0.40270087778528024
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Air temperature [K]_Air temperature [K]_High', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'HDF', 'Process temperature [K]_Process temperature [K]_Low'})",0.1481,0.001,0.0008,0.005401755570560432,5.401755570560431,1.0,0.0006519,1.0044256619144603,0.956538326094612,0.005394470667565745,0.004406161732292724,0.40270087778528024
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Air temperature [K]_Air temperature [K]_High', 'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Process temperature [K]_Process temperature [K]_High', 'Tool wear [min]_Tool wear [min]_Low'})",frozenset({'HDF'}),0.1061,0.0115,0.0057,0.05372290292177192,4.671556775806254,1.0,0.0044798500000000005,1.0446200199203188,0.879224294094673,0.05093833780160858,0.04271411524711372,0.27468753841740773
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Air temperature [K]_Air temperature [K]_High', 'Process temperature [K]_Process temperature [K]_High'})","frozenset({'HDF', 'Tool wear [min]_Tool wear [min]_Low'})",0.2078,0.0059,0.0057,0.02743022136669875,4.64919006215233,1.0,0.004473980000000001,1.0221374567046015,0.9907962281366128,0.027403846153846157,0.021658003587867167,0.4967659581409765
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Tool wear [min]_Tool wear [min]_Low', 'Air temperature [K]_Air temperature [K]_High'})","frozenset({'HDF', 'Process temperature [K]_Process temperature [K]_High'})",0.1213,0.0105,0.0057,0.04699093157460841,4.475326816629372,1.0,0.00442635,1.0382902249134949,0.8837517145543955,0.045202220459952425,0.036878152172418806,0.2949240372158756
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Tool wear [min]_Tool wear [min]_Low', 'Air temperature [K]_Air temperature [K]_High', 'Process temperature [K]_Process temperature [K]_High'})","frozenset({'HDF', 'Rotational speed [rpm]_Rotational speed [rpm]_Low'})",0.1112,0.0115,0.0057,0.0512589928057554,4.4573037222396,1.0,0.0044212,1.0419071090047394,0.8726925324111359,0.048717948717948725,0.04022154052175559,0.27345558335939946
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Tool wear [min]_Tool wear [min]_Low', 'Air temperature [K]_Air temperature [K]_High', 'Process temperature [K]_Process temperature [K]_High'})",frozenset({'HDF'}),0.1112,0.0115,0.0057,0.0512589928057554,4.4573037222396,1.0,0.0044212,1.0419071090047394,0.8726925324111359,0.048717948717948725,0.04022154052175559,0.27345558335939946
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Air temperature [K]_Air temperature [K]_High', 'Process temperature [K]_Process temperature [K]_High'})","frozenset({'HDF', 'Tool wear [min]_Tool wear [min]_Low', 'Rotational speed [rpm]_Rotational speed [rpm]_Low'})",0.2182,0.0059,0.0057,0.026122823098075162,4.427597135266977,1.0,0.00441262,1.0207652705882353,0.9902070345985198,0.026098901098901103,0.020342845888819197,0.4961122590066647
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Air temperature [K]_Air temperature [K]_High', 'Process temperature [K]_Process temperature [K]_High'})","frozenset({'HDF', 'Tool wear [min]_Tool wear [min]_Low'})",0.2182,0.0059,0.0057,0.026122823098075162,4.427597135266977,1.0,0.00441262,1.0207652705882353,0.9902070345985198,0.026098901098901103,0.020342845888819197,0.4961122590066647
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Air temperature [K]_Air temperature [K]_High', 'Process temperature [K]_Process temperature [K]_High'})",frozenset({'HDF'}),0.2078,0.0115,0.0105,0.05052935514918191,4.393856969494079,1.0,0.0081103,1.0411064368981247,0.9750183335136631,0.05028735632183908,0.03948341441495387,0.48178641670502576
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Tool wear [min]_Tool wear [min]_Low', 'Air temperature [K]_Air temperature [K]_High'})","frozenset({'HDF', 'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Process temperature [K]_Process temperature [K]_High'})",0.127,0.0105,0.0057,0.04488188976377953,4.274465691788526,1.0,0.004366500000000001,1.035997526793075,0.8774944233435825,0.04324734446130501,0.03474673043332948,0.29386951631046115
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Tool wear [min]_Tool wear [min]_Low', 'Air temperature [K]_Air temperature [K]_High'})","frozenset({'HDF', 'Process temperature [K]_Process temperature [K]_High'})",0.127,0.0105,0.0057,0.04488188976377953,4.274465691788526,1.0,0.004366500000000001,1.035997526793075,0.8774944233435825,0.04324734446130501,0.03474673043332948,0.29386951631046115
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Tool wear [min]_Tool wear [min]_Low', 'Air temperature [K]_Air temperature [K]_High'})",frozenset({'HDF'}),0.1213,0.0115,0.0059,0.04863973619126133,4.229542277500985,1.0,0.00450505,1.03903856152513,0.8689743901333441,0.04649330181245074,0.037571812029601755,0.28084160722606544
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Air temperature [K]_Air temperature [K]_High', 'Process temperature [K]_Process temperature [K]_High'})",frozenset({'HDF'}),0.2182,0.0115,0.0105,0.04812098991750688,4.184433905870163,1.0,0.0079907,1.038472315840154,0.9734190939102679,0.0479014598540146,0.03704703077137773,0.48058223408918826
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Air temperature [K]_Air temperature [K]_High', 'Process temperature [K]_Process temperature [K]_High'})","frozenset({'HDF', 'Rotational speed [rpm]_Rotational speed [rpm]_Low'})",0.2182,0.0115,0.0105,0.04812098991750688,4.184433905870163,1.0,0.0079907,1.038472315840154,0.9734190939102679,0.0479014598540146,0.03704703077137773,0.48058223408918826
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Air temperature [K]_Air temperature [K]_High', 'Process temperature [K]_Process temperature [K]_Low'})","frozenset({'HDF', 'Tool wear [min]_Tool wear [min]_High'})",0.0346,0.0056,0.0008,0.023121387283236997,4.128819157720892,1.0,0.0006062400000000001,1.0179360946745561,0.7849596022374146,0.020304568527918784,0.017620059617092714,0.08298926507018994
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Air temperature [K]_Air temperature [K]_High'})","frozenset({'HDF', 'Tool wear [min]_Tool wear [min]_Low'})",0.2424,0.0059,0.0059,0.02433993399339934,4.125412541254126,1.0,0.00446984,1.0188999577167017,1.0,0.02433993399339934,0.018549375307714857,0.5121699669966997
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Air temperature [K]_Air temperature [K]_High'})","frozenset({'HDF', 'Process temperature [K]_Process temperature [K]_High'})",0.2424,0.0105,0.0105,0.04331683168316832,4.125412541254126,1.0,0.007954800000000001,1.0343027166882277,1.0,0.04331683168316832,0.033165064864242866,0.5216584158415841
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Air temperature [K]_Air temperature [K]_High'})","frozenset({'HDF', 'Process temperature [K]_Process temperature [K]_Low'})",0.2424,0.001,0.001,0.004125412541254125,4.125412541254125,1.0,0.0007576,1.0031383595691798,0.9999999999999999,0.004125412541254125,0.0031285410823364613,0.5020627062706271
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Air temperature [K]_Air temperature [K]_High'})","frozenset({'HDF', 'Tool wear [min]_Tool wear [min]_High', 'Process temperature [K]_Process temperature [K]_Low'})",0.2424,0.0008,0.0008,0.0033003300330033004,4.125412541254125,1.0,0.00060608,1.0025086092715232,1.0,0.0033003300330033004,0.0025023318985221183,0.5016501650165016
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Air temperature [K]_Air temperature [K]_High'})","frozenset({'HDF', 'Tool wear [min]_Tool wear [min]_Low', 'Process temperature [K]_Process temperature [K]_Low'})",0.2424,0.0002,0.0002,0.0008250825082508251,4.125412541254125,1.0,0.00015152,1.000625598678778,1.0,0.0008250825082508251,0.0006252075497607773,0.5004125412541254
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Air temperature [K]_Air temperature [K]_High'})","frozenset({'HDF', 'Tool wear [min]_Tool wear [min]_High', 'Process temperature [K]_Process temperature [K]_High'})",0.2424,0.0048,0.0048,0.0198019801980198,4.125412541254125,1.0,0.0036364799999999997,1.0153050505050505,0.9999999999999999,0.0198019801980198,0.015074337015695136,0.5099009900990099
