antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Process temperature [K]_Process temperature [K]_High', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Air temperature [K]_Air temperature [K]_High', 'OSF'})",0.1163,0.0049,0.0044,0.03783319002579536,7.721059188937829,1.0,0.00383013,1.0342281501340482,0.9850448013003178,0.037671232876712334,0.033095357276449966,0.4678961868496324
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Air temperature [K]_Air temperature [K]_Low', 'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Process temperature [K]_Process temperature [K]_Low', 'OSF'})",0.1197,0.0046,0.0041,0.03425229741019215,7.446151610911338,1.0,0.0035493800000000004,1.0307039792387542,0.9834175156473819,0.034109816971713815,0.0297893283204663,0.4627783226181396
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Tool wear [min]_Tool wear [min]_High', 'Process temperature [K]_Process temperature [K]_High'})","frozenset({'Air temperature [K]_Air temperature [K]_High', 'OSF'})",0.1227,0.0049,0.0044,0.035859820700896494,7.318330755284999,1.0,0.0037987700000000004,1.032111327134404,0.9841067117084443,0.03571428571428572,0.031112270827953464,0.46690950218718297
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Tool wear [min]_Tool wear [min]_High', 'Process temperature [K]_Process temperature [K]_High'})","frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Air temperature [K]_Air temperature [K]_High', 'OSF'})",0.1227,0.0049,0.0044,0.035859820700896494,7.318330755284999,1.0,0.0037987700000000004,1.032111327134404,0.9841067117084443,0.03571428571428572,0.031112270827953464,0.46690950218718297
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Air temperature [K]_Air temperature [K]_Low', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Process temperature [K]_Process temperature [K]_Low', 'OSF'})",0.1261,0.0046,0.0041,0.03251387787470262,7.068234320587526,1.0,0.0035199400000000005,1.0288519672131147,0.9824029651213093,0.03238546603475514,0.028042875100163372,0.4619091128503948
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Air temperature [K]_Air temperature [K]_Low', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Process temperature [K]_Process temperature [K]_Low', 'OSF'})",0.1261,0.0046,0.0041,0.03251387787470262,7.068234320587526,1.0,0.0035199400000000005,1.0288519672131147,0.9824029651213093,0.03238546603475514,0.028042875100163372,0.4619091128503948
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Air temperature [K]_Air temperature [K]_High', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Process temperature [K]_Process temperature [K]_High', 'OSF'})",0.1211,0.0052,0.0044,0.03633360858794385,6.987232420758433,1.0,0.0037702800000000004,1.0323074550128535,0.9749480238728163,0.03609515996718622,0.0312963496058945,0.44124372737089507
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Process temperature [K]_Process temperature [K]_Low', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Air temperature [K]_Air temperature [K]_Low', 'OSF'})",0.1245,0.0049,0.0041,0.03293172690763053,6.720760593393986,1.0,0.0034899500000000003,1.0289862956810631,0.9722527893468542,0.032721468475658426,0.02816975872538491,0.4348332103925909
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Air temperature [K]_Air temperature [K]_High', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Process temperature [K]_Process temperature [K]_High', 'OSF'})",0.1273,0.0052,0.0044,0.03456402199528673,6.646927306785909,1.0,0.00373804,1.0304152969894222,0.9734783378647249,0.034348165495706476,0.02951751306321545,0.4403589340745665
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Air temperature [K]_Air temperature [K]_High', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Process temperature [K]_Process temperature [K]_High', 'OSF'})",0.1273,0.0052,0.0044,0.03456402199528673,6.646927306785909,1.0,0.00373804,1.0304152969894222,0.9734783378647249,0.034348165495706476,0.02951751306321545,0.4403589340745665
