antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Tool wear [min]_Tool wear [min]_Low', 'Air temperature [K]_Air temperature [K]_High'})","frozenset({'Torque [Nm]_Torque [Nm]_Low', 'Process temperature [K]_Process temperature [K]_High', 'PWF'})",0.1013,0.0018,0.0012,0.01184600197433366,6.581112207963145,1.0,0.0010176599999999999,1.0101664335664335,0.9436408145098475,0.011776251226692836,0.010064117385627791,0.3392563343205001
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Tool wear [min]_Tool wear [min]_Low', 'Process temperature [K]_Process temperature [K]_High'})","frozenset({'Torque [Nm]_Torque [Nm]_Low', 'Air temperature [K]_Air temperature [K]_High', 'PWF'})",0.103,0.0018,0.0012,0.011650485436893204,6.472491909385114,1.0,0.0010145999999999998,1.0099666011787818,0.9425863991081381,0.011583011583011584,0.009868248283804053,0.3391585760517799
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Tool wear [min]_Tool wear [min]_High', 'Process temperature [K]_Process temperature [K]_Low'})","frozenset({'Air temperature [K]_Air temperature [K]_Low', 'Torque [Nm]_Torque [Nm]_Low', 'PWF'})",0.1009,0.0013,0.0007,0.006937561942517344,5.336586109628726,1.0,0.00056883,1.0056769461077846,0.9038085704752371,0.006896551724137932,0.005644900312924145,0.2726995502020279
"frozenset({'Torque [Nm]_Torque [Nm]_Low', 'Tool wear [min]_Tool wear [min]_Low', 'Air temperature [K]_Air temperature [K]_High'})","frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'PWF', 'Process temperature [K]_Process temperature [K]_High'})",0.125,0.0018,0.0012,0.0096,5.333333333333333,1.0,0.000975,1.007875605815832,0.9285714285714286,0.009554140127388535,0.007814065317571629,0.33813333333333334
"frozenset({'Torque [Nm]_Torque [Nm]_Low', 'Tool wear [min]_Tool wear [min]_Low', 'Process temperature [K]_Process temperature [K]_High'})","frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'PWF', 'Air temperature [K]_Air temperature [K]_High'})",0.1262,0.0018,0.0012,0.009508716323296354,5.2826201796090855,1.0,0.0009728399999999999,1.00778272,0.927786678873884,0.00946372239747634,0.007722617033957478,0.33808769149498147
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Air temperature [K]_Air temperature [K]_Low', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Torque [Nm]_Torque [Nm]_Low', 'Process temperature [K]_Process temperature [K]_Low', 'PWF'})",0.1027,0.0013,0.0007,0.006815968841285297,5.243052954834844,1.0,0.00056649,1.005553823529412,0.9018961646845298,0.006776379477250727,0.005523148934900668,0.2726387536514119
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Process temperature [K]_Process temperature [K]_Low'})","frozenset({'Air temperature [K]_Air temperature [K]_Low', 'Torque [Nm]_Torque [Nm]_Low', 'Tool wear [min]_Tool wear [min]_Low', 'PWF'})",0.1969,0.0005,0.0005,0.0025393600812595226,5.078720162519045,1.0,0.00040155000000000003,1.0020445519348269,1.0,0.0025393600812595226,0.00204038027139522,0.5012696800406298
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Tool wear [min]_Tool wear [min]_Low'})","frozenset({'Torque [Nm]_Torque [Nm]_Low', 'Air temperature [K]_Air temperature [K]_High', 'Process temperature [K]_Process temperature [K]_Low', 'PWF'})",0.199,0.0001,0.0001,0.0005025125628140704,5.025125628140704,1.0,8.01e-05,1.0004027149321266,1.0,0.0005025125628140704,0.00040255281809587997,0.500251256281407
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Air temperature [K]_Air temperature [K]_Low'})","frozenset({'Torque [Nm]_Torque [Nm]_Low', 'Tool wear [min]_Tool wear [min]_High', 'Process temperature [K]_Process temperature [K]_Low', 'PWF'})",0.2004,0.0007,0.0007,0.003493013972055888,4.99001996007984,1.0,0.00055972,1.0028028042063095,1.0,0.003493013972055888,0.0027949704513718482,0.501746506986028
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Air temperature [K]_Air temperature [K]_High'})","frozenset({'Torque [Nm]_Torque [Nm]_Low', 'Tool wear [min]_Tool wear [min]_Low', 'Process temperature [K]_Process temperature [K]_High', 'PWF'})",0.2059,0.0012,0.0012,0.005828071879553181,4.856726566294318,1.0,0.0009529199999999999,1.0046552027357107,0.9999999999999999,0.005828071879553181,0.004633632238239068,0.5029140359397766
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Air temperature [K]_Air temperature [K]_Low', 'Torque [Nm]_Torque [Nm]_Low', 'Process temperature [K]_Process temperature [K]_High', 'PWF'})",0.2073,0.0001,0.0001,0.000482392667631452,4.82392667631452,1.0,7.927e-05,1.0003825772200772,1.0,0.000482392667631452,0.00038243091072252426,0.5002411963338157
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Process temperature [K]_Process temperature [K]_High'})","frozenset({'Torque [Nm]_Torque [Nm]_Low', 'PWF', 'Air temperature [K]_Air temperature [K]_High', 'Tool wear [min]_Tool wear [min]_High'})",0.2094,0.0005,0.0005,0.002387774594078319,4.7755491881566385,1.0,0.0003953,1.0018922929631404,1.0,0.002387774594078319,0.0018887189535550966,0.5011938872970392
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Process temperature [K]_Process temperature [K]_Low'})","frozenset({'Air temperature [K]_Air temperature [K]_Low', 'Torque [Nm]_Torque [Nm]_Low', 'PWF'})",0.1969,0.0013,0.0012,0.006094464195022854,4.68804938078681,1.0,0.0009440299999999999,1.0048238630556976,0.9795687544099946,0.006091370558375634,0.004800705111668022,0.46458569363597296
