antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Torque [Nm]_Torque [Nm]_Low', 'Air temperature [K]_Air temperature [K]_High', 'Process temperature [K]_Process temperature [K]_Low'})","frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'RNF', 'Tool wear [min]_Tool wear [min]_Low'})",0.0335,0.0002,0.0001,0.0029850746268656717,14.925373134328357,1.0,9.33e-05,1.0027934131736527,0.9653388515261252,0.0029761904761904765,0.0027856317532163146,0.25149253731343285
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Air temperature [K]_Air temperature [K]_High', 'Process temperature [K]_Process temperature [K]_Low'})","frozenset({'RNF', 'Torque [Nm]_Torque [Nm]_Low', 'Tool wear [min]_Tool wear [min]_Low'})",0.0268,0.0003,0.0001,0.0037313432835820895,12.437810945273633,1.0,9.196000000000001e-05,1.0034441947565542,0.944923962186601,0.0037037037037037034,0.003432372995480734,0.16853233830845774
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Torque [Nm]_Torque [Nm]_High', 'Air temperature [K]_Air temperature [K]_High', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'RNF', 'Process temperature [K]_Process temperature [K]_High'})",0.0062,0.0013,0.0001,0.01612903225806452,12.406947890818861,1.0,9.194e-05,1.015072131147541,0.925135842221775,0.013513513513513516,0.014848335093686311,0.04652605459057072
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Torque [Nm]_Torque [Nm]_High', 'Air temperature [K]_Air temperature [K]_High'})","frozenset({'RNF', 'Tool wear [min]_Tool wear [min]_High', 'Process temperature [K]_Process temperature [K]_High'})",0.0119,0.0007,0.0001,0.008403361344537815,12.004801920768307,1.0,9.167000000000001e-05,1.0077686440677966,0.9277401072765915,0.008,0.007708757474770154,0.07563025210084034
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Torque [Nm]_Torque [Nm]_High', 'Process temperature [K]_Process temperature [K]_High'})","frozenset({'RNF', 'Air temperature [K]_Air temperature [K]_High', 'Tool wear [min]_Tool wear [min]_High'})",0.0125,0.0007,0.0001,0.008,11.428571428571429,1.0,9.125000000000001e-05,1.007358870967742,0.9240506329113923,0.007633587786259542,0.007305113579505655,0.07542857142857144
"frozenset({'Torque [Nm]_Torque [Nm]_Low', 'Tool wear [min]_Tool wear [min]_Low', 'Air temperature [K]_Air temperature [K]_High', 'Process temperature [K]_Process temperature [K]_Low'})","frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'RNF'})",0.0149,0.0006,0.0001,0.006711409395973155,11.185682326621926,1.0,9.106000000000001e-05,1.0061527027027026,0.9243731600852706,0.006493506493506494,0.006115078443038979,0.08668903803131991
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Torque [Nm]_Torque [Nm]_High', 'Tool wear [min]_Tool wear [min]_High', 'Process temperature [K]_Process temperature [K]_High'})","frozenset({'RNF', 'Air temperature [K]_Air temperature [K]_High'})",0.0064,0.0014,0.0001,0.015625,11.160714285714286,1.0,9.104000000000001e-05,1.0144507936507936,0.9162640901771336,0.012987012987012988,0.014244942920088122,0.04352678571428572
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Tool wear [min]_Tool wear [min]_Low', 'Air temperature [K]_Air temperature [K]_High', 'Process temperature [K]_Process temperature [K]_Low'})","frozenset({'RNF', 'Torque [Nm]_Torque [Nm]_Low'})",0.0117,0.0008,0.0001,0.008547008547008548,10.683760683760685,1.0,9.064e-05,1.0078137931034483,0.917130425984013,0.008064516129032258,0.007753211115901269,0.06677350427350427
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Torque [Nm]_Torque [Nm]_High', 'Air temperature [K]_Air temperature [K]_High', 'Tool wear [min]_Tool wear [min]_High', 'Process temperature [K]_Process temperature [K]_High'})",frozenset({'RNF'}),0.0053,0.0019,0.0001,0.018867924528301886,9.930486593843098,1.0,8.993e-05,1.0172942307692308,0.9040916859354579,0.014084507042253523,0.017000224955717753,0.03574975173783516
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Tool wear [min]_Tool wear [min]_High', 'Process temperature [K]_Process temperature [K]_Low'})","frozenset({'Air temperature [K]_Air temperature [K]_Low', 'RNF', 'Torque [Nm]_Torque [Nm]_Low'})",0.1009,0.0002,0.0002,0.0019821605550049554,9.910802775024777,1.0,0.00017982,1.001785700099305,0.9999999999999999,0.0019821605550049554,0.0017825170584166385,0.5009910802775025
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Torque [Nm]_Torque [Nm]_High', 'Air temperature [K]_Air temperature [K]_High', 'Tool wear [min]_Tool wear [min]_High'})",frozenset({'RNF'}),0.0062,0.0019,0.0001,0.01612903225806452,8.488964346349746,1.0,8.822e-05,1.0144622950819673,0.8877037633326625,0.0125,0.014256118883944012,0.034380305602716474
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Torque [Nm]_Torque [Nm]_High', 'Tool wear [min]_Tool wear [min]_High', 'Process temperature [K]_Process temperature [K]_High'})",frozenset({'RNF'}),0.0064,0.0019,0.0001,0.015625,8.223684210526315,1.0,8.784e-05,1.013942857142857,0.8840579710144927,0.012195121951219513,0.01375112714156898,0.03412828947368421
"frozenset({'Torque [Nm]_Torque [Nm]_Low', 'Tool wear [min]_Tool wear [min]_High', 'Process temperature [K]_Process temperature [K]_Low'})","frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'RNF', 'Air temperature [K]_Air temperature [K]_Low'})",0.1222,0.0002,0.0002,0.0016366612111292963,8.183306055646481,1.0,0.00017556,1.0014390163934426,1.0,0.0016366612111292963,0.001436948600849466,0.5008183306055647
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Torque [Nm]_Torque [Nm]_High', 'Air temperature [K]_Air temperature [K]_High', 'Process temperature [K]_Process temperature [K]_High'})","frozenset({'RNF', 'Tool wear [min]_Tool wear [min]_High'})",0.0104,0.0012,0.0001,0.009615384615384616,8.012820512820515,1.0,8.752e-05,1.0084970873786407,0.8843977364591753,0.008695652173913044,0.00842549520963618,0.046474358974358976
