antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Air temperature [K]_Air temperature [K]_High', 'Process temperature [K]_Process temperature [K]_Low', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Torque [Nm]_Torque [Nm]_High', 'TWF'})",0.0238,0.0018,0.0004,0.01680672268907563,9.337068160597573,1.0,0.00035716000000000003,1.015263247863248,0.9146691251792666,0.015873015873015872,0.015033783499374504,0.11951447245564893
"frozenset({'Air temperature [K]_Air temperature [K]_Low', 'Torque [Nm]_Torque [Nm]_Low', 'Tool wear [min]_Tool wear [min]_High', 'Process temperature [K]_Process temperature [K]_High'})","frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'TWF'})",0.0194,0.002,0.0003,0.015463917525773195,7.731958762886597,1.0,0.00026119999999999995,1.013675392670157,0.8878917669454074,0.014218009478672983,0.013490899324422038,0.0827319587628866
"frozenset({'Torque [Nm]_Torque [Nm]_High', 'Air temperature [K]_Air temperature [K]_High', 'Process temperature [K]_Process temperature [K]_Low', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'TWF', 'Rotational speed [rpm]_Rotational speed [rpm]_Low'})",0.0203,0.0026,0.0004,0.01970443349753695,7.578628268283443,1.0,0.00034722,1.0174482412060302,0.8860365417985097,0.01777777777777778,0.017149020952012185,0.0867752936718454
"frozenset({'Torque [Nm]_Torque [Nm]_Low', 'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Air temperature [K]_Air temperature [K]_High', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'TWF', 'Process temperature [K]_Process temperature [K]_High'})",0.027,0.0025,0.0005,0.018518518518518517,7.4074074074074066,1.0,0.0004325,1.0163207547169812,0.8890030832476875,0.01724137931034483,0.016058665181472198,0.10925925925925926
"frozenset({'Torque [Nm]_Torque [Nm]_Low', 'Tool wear [min]_Tool wear [min]_High', 'Process temperature [K]_Process temperature [K]_High'})","frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'TWF', 'Air temperature [K]_Air temperature [K]_High'})",0.1262,0.001,0.0009,0.007131537242472266,7.131537242472265,1.0,0.0007737999999999999,1.0061755786113329,0.9839525953053075,0.007125890736342043,0.006137674917389656,0.4535657686212361
"frozenset({'Air temperature [K]_Air temperature [K]_Low', 'Torque [Nm]_Torque [Nm]_Low', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'TWF', 'Process temperature [K]_Process temperature [K]_Low'})",0.123,0.0008,0.0007,0.005691056910569106,7.1138211382113825,1.0,0.0006016,1.0049190515126738,0.9799641635445512,0.005686433793663689,0.00489497288888021,0.4403455284552846
"frozenset({'Torque [Nm]_Torque [Nm]_Low', 'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Process temperature [K]_Process temperature [K]_High', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'TWF', 'Air temperature [K]_Air temperature [K]_High'})",0.0262,0.0027,0.0005,0.019083969465648856,7.068136839129205,1.0,0.00042926,1.0167027237354085,0.8816184021359622,0.017605633802816902,0.01642832594570225,0.10213457732541702
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Air temperature [K]_Air temperature [K]_High', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Torque [Nm]_Torque [Nm]_High', 'TWF', 'Process temperature [K]_Process temperature [K]_High'})",0.1481,0.0008,0.0008,0.005401755570560432,6.7521944632005395,1.0,0.00068152,1.0046267481330617,1.0,0.005401755570560432,0.00460543992249843,0.5027008777852802
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_Low', 'Process temperature [K]_Process temperature [K]_Low', 'Tool wear [min]_Tool wear [min]_High'})","frozenset({'Torque [Nm]_Torque [Nm]_High', 'Air temperature [K]_Air temperature [K]_Low', 'TWF'})",0.152,0.0006,0.0006,0.003947368421052632,6.578947368421053,1.0,0.0005088,1.0033606340819021,1.0000000000000002,0.003947368421052632,0.003349378047881361,0.5019736842105263
"frozenset({'Rotational speed [rpm]_Rotational speed [rpm]_High', 'Air temperature [K]_Air temperature [K]_Low', 'Tool wear [min]_Tool wear [min]_High', 'Process temperature [K]_Process temperature [K]_High'})","frozenset({'Torque [Nm]_Torque [Nm]_Low', 'TWF'})",0.0169,0.0028,0.0003,0.01775147928994083,6.3398140321217245,1.0,0.00025267999999999997,1.0152216867469879,0.8567456684637034,0.015463917525773196,0.014993460980686752,0.06244716821639898
